2015-04-28,81,Popeye's #2044,750 Government Street,"Mobile, AL 36602"
2015-06-02,80,Superior Quality Discount,2100 Dauphin Island Parkway,"Mobile, AL 36605"
2015-06-04,77,Dell's Cafeteria & Catering,962 South Broad Street,"Mobile, AL 36602"
2015-06-09,78,DIP Food Market,817 Dauphin Island Parkway,"Mobile, AL 36605"
2015-06-09,82,Waffle House #241,1754 Dauphin Island Parkway,"Mobile, AL 36605"
2015-06-15,76,Halal Cusine of India,3674 Airport Boulevard,"Mobile, AL 36608"
2015-06-23,75,King Super Buffet,5451 Halls Mill Road,"Mobile, AL 36619"
2015-07-22,3,Subway (Walmart),7855 Moffett Road,"Semmes, AL 36575"
2015-07-27,70,Package King,2320 Government Boulevard,"Mobile, AL 36606"
2015-08-04,84,Pelican Reef,11799 Dauphin Island Parkway,"Theodore, AL 36582"
2015-08-10,82,T-Boys,"9097 Bellingrath Road, Unit A & B","Theodore, AL 36582"
2015-08-11,84,Long Phat Oriental Market,14050 Railroad Street,"Bayou LaBatre, AL 36509"
2015-08-17,74,Simply Seafood,5600 Three Notch Road,"Mobile, AL 36619"
2015-08-18,82,7 Spice,3762 Airport Boulevard,"Mobile, AL 36608"
2015-08-19,84,Godfather's Pizza,5442 Highway 90 West,"Mobile, AL 36619"
2015-08-31,83,China Chef Restaurant,5887 Highway 90 West,"Theodore, AL 36582"
2015-09-08,75,Navco Shell,1373 Navco Road,"Mobile, AL 36605"
2015-09-23,80,Tony's Waterin Hole,1100 Shelton Beach Road,"Saraland, AL 36571"
2015-10-07,82,Los Conquistadores,13655 North Wintzell Avenue,"Bayou LaBatre, AL 36509"
2015-10-12,80,GB Operations/Pizza Inn,12640 Highway 188,"Grand Bay, AL 36541"
2015-10-13,82,Lucky Irish Pub,3692 Airport Boulevard,"Mobile, AL 36608"
2015-11-16,71,McDonald's #3133,5601 Old Shell Road,"Mobile, AL 36608"
2015-12-01,82,McDonald's #3133,5601 Old Shell Road,"Mobile, AL 36608"
2015-12-07,83,Circle K #5984/Sidney's Chicken,6111 Lott Road,"Eight Mile, AL 36613"
2015-12-15,76,Purple Cow Store #301,1817 Dawes Road,"Mobile, AL 36695"
2015-12-18,80,La Cocina Mexican Restaurant,4663 Airport Boulevard,"Mobile, AL 36608"
